table,statut,legacy,domaine_utilisation,sert_a,lignes_total,lignes_actives_2_0_0,lignes_legacy,colonnes_cles,utilisation_code,note
planets,utilisee,oui,theme_natal_et_transits,"Liste les corps celestes calcules et affiches. Les planetes alimentent les positions natales, les transits et les ponderations.",20,10,10,"id, reference_version_id, code, name","ReferenceRepository.get_reference_data, calcul natal, prediction_reference_repository",La table contient aussi des lignes hors version active 2.0.0; ne pas les exporter comme referentiel actif.
signs,utilisee,oui,theme_natal,Liste les signes zodiacaux utilises pour convertir les longitudes en signes et pour les maitrises.,24,12,12,"id, reference_version_id, code, name","ReferenceRepository.get_reference_data, calcul natal, sign_rulerships",La table contient aussi des lignes hors version active 2.0.0; ne pas les exporter comme referentiel actif.
houses,utilisee,oui,theme_natal,Liste les 12 maisons utilisees pour classer les positions natales et les domaines de vie.,24,12,12,"id, reference_version_id, number, name","ReferenceRepository.get_reference_data, calcul maisons, house_profiles",La table contient aussi des lignes hors version active 2.0.0; ne pas les exporter comme referentiel actif.
aspects,utilisee,oui,theme_natal_et_aspects,Liste les aspects supportes avec angle et orbe par defaut.,10,5,5,"id, reference_version_id, code, name, angle, default_orb_deg","ReferenceRepository.get_reference_data, calculators/aspects.py, natal_calculation.py",La table contient aussi des lignes hors version active 2.0.0; ne pas les exporter comme referentiel actif.
planet_profiles,utilisee,non,calcul_prediction,"Ajoute classe, vitesse, poids et orbes actives par planete pour le moteur de prediction.",10,10,0,"id, planet_id, class_code, speed_rank, speed_class, weight_intraday, weight_day_climate, typical_polarity, orb_active_deg, orb_peak_deg, keywords_json, micro_note","PredictionReferenceRepository.get_planet_profiles, event_detector, contribution_calculator",
house_profiles,utilisee,non,calcul_prediction,"Ajoute type de maison, priorite et poids de visibilite pour le scoring.",12,12,0,"id, house_id, house_kind, visibility_weight, base_priority, keywords_json, micro_note","PredictionReferenceRepository.get_house_profiles, natal_sensitivity, context_loader",
aspect_profiles,utilisee,non,calcul_prediction,"Ajoute intensite, valence et multiplicateur d orbe par aspect.",5,5,0,"id, aspect_id, intensity_weight, default_valence, orb_multiplier, phase_sensitive, micro_note","PredictionReferenceRepository.get_aspect_profiles, event_detector, contribution_calculator",
astro_points,utilisee,non,angles_theme,"Reference les angles ou points astrologiques comme ASC, DSC, MC, IC.",4,4,0,"id, reference_version_id, code, name, point_type, is_enabled","PredictionReferenceRepository.get_astro_points, point_category_weights",
sign_rulerships,utilisee,non,theme_natal_sensibilite,Mappe chaque signe a sa planete maitresse pour la sensibilite natale.,12,12,0,"id, reference_version_id, sign_id, planet_id, rulership_type, weight, is_primary","PredictionReferenceRepository.get_sign_rulerships, natal_sensitivity",
prediction_categories,utilisee,non,domaines_interpretation_scoring,Liste les domaines de restitution utilises par les poids maisons/planetes/points.,12,12,0,"id, reference_version_id, code, name, display_name, description, sort_order, is_public, is_enabled","PredictionReferenceRepository.get_categories, scoring categories",
planet_category_weights,utilisee,non,routage_domaines,Pondere l influence de chaque planete vers les domaines.,85,85,0,"id, planet_id, category_id, weight, influence_role","PredictionReferenceRepository.get_planet_category_weights, domain_router",
house_category_weights,utilisee,non,routage_domaines,Pondere l influence de chaque maison vers les domaines.,24,24,0,"id, house_id, category_id, weight, routing_role","PredictionReferenceRepository.get_house_category_weights, domain_router",
