table,category,rows,role,columns
aspect_profiles,calculation_reference,5,"Poids, valence et multiplicateurs des aspects.","id,aspect_id,intensity_weight,default_valence,orb_multiplier,phase_sensitive,micro_note"
aspects,reference,10,Referentiel des aspects et orbes par defaut.,"id,reference_version_id,code,name,angle,default_orb_deg"
astro_points,calculation_reference,4,Angles et points astrologiques utilises par les calculs.,"id,reference_version_id,code,name,point_type,is_enabled"
astrologer_profiles,interpretation_persona,6,Profils publics astrologues/personas.,"persona_id,first_name,last_name,display_name,gender,provider_type,age,photo_url,public_style_label,bio_short,bio_long,admin_category,specialties,specialties_details,professional_background,key_skills,behavioral_style,location,quote,mission_statement,ideal_for,metrics,is_public,sort_order,created_at,updated_at"
astrologer_prompt_profiles,interpretation_persona,6,Prompts specifiques aux astrologues/personas.,"id,persona_id,prompt_content,version,is_active,created_at,updated_at"
astrologer_reviews,interpretation_persona,0,Avis utilisateurs sur astrologues.,"id,user_id,user_alias,persona_id,rating,comment,tags,created_at,updated_at"
calibration_raw_days,calibration,0,Scores bruts journaliers pour construire la calibration.,"id,profile_label,local_date,category_code,raw_score,power,volatility,pivot_count,reference_version,ruleset_version,computed_at"
category_calibrations,calibration,0,Percentiles de calibration par categorie.,"id,ruleset_id,category_id,p05,p25,p50,p75,p95,calibration_label,sample_size,valid_from,valid_to"
chart_results,calculation_result,1,Resultats de theme natal/calcul astrologique persistés en JSON.,"id,user_id,chart_id,reference_version,ruleset_version,input_hash,result_payload,created_at"
consultation_templates,interpretation_template,5,Templates de consultations et prompts.,"id,key,icon_ref,title,subtitle,description,prompt_content,metadata_config,is_active,sort_order,created_at,updated_at"
daily_prediction_category_scores,calculation_result,108,Scores par categorie et contributeurs JSON.,"id,run_id,category_id,raw_score,normalized_score,note_20,power,volatility,score_20,intensity_20,confidence_20,rarity_percentile,level_day,dominance_day,stability_day,intensity_day,avg_score,max_score,min_score,rank,is_provisional,summary,contributors_json"
daily_prediction_runs,calculation_result,9,Runs de prediction quotidienne persistés.,"id,user_id,local_date,timezone,reference_version_id,ruleset_id,input_hash,engine_mode,engine_version,snapshot_version,evidence_pack_version,v3_metrics_json,llm_narrative_json,computed_at,house_system_effective,is_provisional_calibration,calibration_label,overall_summary,overall_tone,main_turning_point_at"
